trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-109.38428923588154,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,11.377691728250397,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-37.211013146032485,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,4,-4.956998194822701,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,13,-11.672935839471972,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,13,16.281759669058424,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,18,22.321631660148558,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,4.8927544231182925,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,16,5.850344283165611,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,3.1301845749341064,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,13,-55.8518577572518,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,2,-30.895046298465072,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,10,-65.92467791177981,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,8,0.3407556770338962,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,19,17.390368679732784,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,11,13.968467566330578,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-14.51311213648668,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,11.379405397087822,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,6,18.523222244902275,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,6,-30.694474463688497,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,0,1.5445944184503566,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,21,14.70018191251516,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,22,-10.246663726494246,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,10,27.395937872648847,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,0,49.312721964779634,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,9,22.36925505424391,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,17,12.221287662038643,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,7,4.437257880145673,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,12,30.888232180732917,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,4,24.57984845080267,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
