trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",20,0,-136.52781684499723,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.998001}",25,0,-190.92983550333298,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.997002999}",25,0,-126.9647477360481,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.996005996001}",25,0,1.661103602682294,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.995009990004999}",25,0,2.6781133428663706,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.994014980014994}",25,0,-90.91700170489202,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.993020965034979}",25,0,10.200021131198321,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.992027944069944}",25,0,13.697351679498164,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.991035916125874}",20,9,19.542359432970038,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9900448802097482}",30,10,0.5799626660975141,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.9890548353295384}",20,14,-71.63651115599832,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.9880657804942089}",20,10,11.751640580093067,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.9870777147137147}",25,0,-46.065753875280826,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.986090636999001}",25,0,-58.04341318408609,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.985104546362002}",25,15,17.722253920754145,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
